campaign_id,campaign_name,project_id,project_name,client_id,client_name,campaign_start_date,campaign_end_date,campaign_state,is_active,campaign_status,campaign_is_active_by_date,total_visits,completed_visits,not_visited_visits,incid_visits,routes_total,routes_with_visits,workers_assigned,main_workers_assigned,worker_ids,worker_names,completion_rate,route_execution_rate,incidence_rate
34,Campaña Nov 2025 – Proyecto Auditoria 15,15,Proyecto Auditoria 15,7,Dermocare Iberia,2025-11-16,2026-04-19,En preparación,false,CERRADA,false,3,3,0,3,5,2,9,5,"13, 28, 30, 32, 35, 37, 40, 41, 8","Carlos, Claudia, Javier, Lucía, Miguel, Sara",1.0,0.4,1.0
32,Campaña Nov 2025 – Proyecto Auditoria 15,15,Proyecto Auditoria 15,7,Dermocare Iberia,2025-11-09,2026-03-30,,false,CERRADA,false,32,30,1,25,1,1,2,1,"15, 28","Javier, Miguel",0.9375,1.0,0.7813
22,Campaña Nov 2025 – Proyecto Mantenimiento 10,10,Proyecto Mantenimiento 10,6,Farmanat Group,2025-11-10,2026-04-10,Pausada,false,CERRADA,false,17,14,2,7,1,1,2,1,"23, 45","Javier, Laura",0.8235,1.0,0.4118
31,Campaña Feb 2026 – Proyecto Sell-In 14,14,Proyecto Sell-In 14,7,Dermocare Iberia,2026-02-22,2026-04-03,,false,CERRADA,false,28,24,2,19,1,1,2,1,"30, 9","Lucía, María",0.8571,1.0,0.6786
52,Campaña Dec 2025 – Proyecto Formación 20,20,Proyecto Formación 20,11,Salutem Laboratorios,2025-12-16,2026-06-14,En preparación,true,ACTIVA,true,36,32,0,25,1,1,2,1,"37, 7","David, Javier",0.8889,1.0,0.6944
15,Campaña Jan 2026 – Proyecto Visibilidad 8,8,Proyecto Visibilidad 8,5,Salutis Consumer España,2026-01-20,2026-06-29,Activa,true,ACTIVA,true,35,32,2,25,1,1,2,1,"42, 9","Lucía, María",0.9143,1.0,0.7143
21,Campaña Nov 2025 – Proyecto Mantenimiento 10,10,Proyecto Mantenimiento 10,6,Farmanat Group,2025-11-01,2026-03-27,En preparación,false,CERRADA,false,29,26,2,24,1,1,2,1,"16, 42",Lucía,0.8966,1.0,0.8276
25,Campaña Jan 2026 – Proyecto Mantenimiento 12,12,Proyecto Mantenimiento 12,6,Farmanat Group,2026-01-16,2026-07-02,En preparación,true,ACTIVA,true,32,27,3,20,2,2,4,2,"13, 28, 34, 4","Elena, Javier, Pablo, Sara",0.8438,1.0,0.625
54,Campaña Feb 2026 – Proyecto Visibilidad 21,21,Proyecto Visibilidad 21,12,Eurofarma Iberia,2026-02-06,2026-05-31,Cerrada,true,CERRADA,false,42,37,4,24,6,6,11,6,"1, 14, 19, 2, 29, 30, 31, 37, 4, 43, 9","Ana, Claudia, David, Elena, Isabel, Javier, Lucía, María",0.881,1.0,0.5714
37,Campaña Oct 2025 – Proyecto Formación 16,16,Proyecto Formación 16,8,Novapharma España,2025-10-31,2026-04-16,En preparación,false,CERRADA,false,38,32,6,21,2,2,4,2,"37, 43, 7, 9","Ana, David, Javier, María",0.8421,1.0,0.5526
35,Campaña Feb 2026 – Proyecto Auditoria 15,15,Proyecto Auditoria 15,7,Dermocare Iberia,2026-02-03,2026-07-25,Activa,true,ACTIVA,true,16,12,2,8,3,3,6,3,"14, 16, 29, 30, 40, 42","Claudia, Elena, Javier, Lucía",0.75,1.0,0.5
64,Campaña Jan 2026 – Proyecto Formación 24,24,Proyecto Formación 24,13,Vitahealth España,2026-01-10,2026-02-12,,false,CERRADA,false,41,37,4,25,5,5,8,5,"14, 2, 23, 26, 29, 34, 36, 42","Carlos, Claudia, Elena, Javier, Laura, Lucía, Pablo, Sara",0.9024,1.0,0.6098
27,Campaña Nov 2025 – Proyecto Mantenimiento 12,12,Proyecto Mantenimiento 12,6,Farmanat Group,2025-11-04,2026-04-01,En preparación,false,CERRADA,false,26,19,6,11,1,1,2,1,"34, 42","Lucía, Pablo",0.7308,1.0,0.4231
57,Campaña Dec 2025 – Proyecto Visibilidad 22,22,Proyecto Visibilidad 22,12,Eurofarma Iberia,2025-12-15,2026-04-15,Cerrada,false,CERRADA,false,13,12,0,7,1,1,2,1,"2, 7","Claudia, David",0.9231,1.0,0.5385
7,Campaña Nov 2025 – Proyecto Auditoria 5,5,Proyecto Auditoria 5,3,Medicolab Iberia,2025-11-10,2026-04-01,Activa,false,CERRADA,false,36,35,1,27,5,5,10,5,"14, 16, 17, 24, 3, 33, 40, 41, 42, 44","Claudia, Isabel, Javier, José, Laura, Lucía, Sara",0.9722,1.0,0.75
48,Campaña Dec 2025 – Proyecto Mantenimiento 19,19,Proyecto Mantenimiento 19,10,Clinipharma España,2025-12-20,2026-03-24,,false,CERRADA,false,28,25,2,19,4,4,8,4,"11, 19, 23, 29, 32, 37, 40, 45","Claudia, Elena, Isabel, Javier, Laura, Pablo",0.8929,1.0,0.6786
70,Campaña Nov 2025 – Proyecto Mantenimiento 26,26,Proyecto Mantenimiento 26,13,Vitahealth España,2025-11-14,2026-01-11,,false,CERRADA,false,3,3,0,2,4,2,8,4,"16, 17, 24, 28, 35, 41, 45, 9","Isabel, Javier, Lucía, María, Miguel, Sara",1.0,0.5,0.6667
6,Campaña Oct 2025 – Proyecto Visibilidad 4,4,Proyecto Visibilidad 4,2,Pharmakon Consumer Health,2025-10-03,2026-02-27,Cerrada,false,CERRADA,false,18,15,1,13,3,3,5,3,"24, 33, 40, 43, 9","Ana, Claudia, Laura, María, Sara",0.8333,1.0,0.7222
41,Campaña Jan 2026 – Proyecto Formación 17,17,Proyecto Formación 17,9,Aquilea Consumer Health,2026-01-24,2026-06-16,,true,ACTIVA,true,8,8,0,7,1,1,2,1,"33, 44","José, Laura",1.0,1.0,0.875
58,Campaña Feb 2026 – Proyecto Mantenimiento 23,23,Proyecto Mantenimiento 23,12,Eurofarma Iberia,2026-02-27,2026-05-04,Pausada,false,CERRADA,false,44,39,4,28,3,3,6,3,"1, 24, 3, 32, 4, 7","David, Elena, Javier, Laura, Sara",0.8864,1.0,0.6364
3,Campaña Nov 2025 – Proyecto Formación 2,2,Proyecto Formación 2,2,Pharmakon Consumer Health,2025-11-18,2026-03-03,,false,CERRADA,false,5,4,1,3,5,3,9,5,"19, 28, 33, 34, 35, 36, 40, 7, 9","Carlos, Claudia, David, Isabel, Javier, Laura, María, Miguel, Pablo",0.8,0.6,0.6
38,Campaña Nov 2025 – Proyecto Formación 16,16,Proyecto Formación 16,8,Novapharma España,2025-11-19,2026-03-04,Cerrada,false,CERRADA,false,5,5,0,4,5,3,9,5,"22, 23, 28, 3, 30, 34, 4, 42, 9","Elena, Javier, José, Laura, Lucía, María, Pablo",1.0,0.6,0.8
16,Campaña Dec 2025 – Proyecto Visibilidad 8,8,Proyecto Visibilidad 8,5,Salutis Consumer España,2025-12-24,2026-04-13,Pausada,false,CERRADA,false,27,21,4,18,1,1,2,1,"2, 8","Carlos, Claudia",0.7778,1.0,0.6667
67,Campaña Jan 2026 – Proyecto Mantenimiento 25,25,Proyecto Mantenimiento 25,13,Vitahealth España,2026-01-15,2026-03-11,Cerrada,,CERRADA,false,29,24,3,20,6,6,12,6,"11, 13, 24, 26, 28, 30, 33, 36, 4, 41, 42, 43","Ana, Carlos, Elena, Javier, Laura, Lucía, Pablo, Sara",0.8276,1.0,0.6897
11,Campaña Oct 2025 – Proyecto Sell-In 7,7,Proyecto Sell-In 7,5,Salutis Consumer España,2025-10-11,2026-02-09,Pausada,false,CERRADA,false,12,11,1,7,6,5,9,4,"11, 15, 16, 19, 37, 40, 41, 42, 44","Claudia, Isabel, Javier, José, Lucía, Miguel, Pablo",0.9167,0.8333,0.5833
26,Campaña Jan 2026 – Proyecto Mantenimiento 12,12,Proyecto Mantenimiento 12,6,Farmanat Group,2026-01-12,2026-03-25,Pausada,false,CERRADA,false,37,33,3,28,6,6,9,6,"2, 23, 24, 3, 33, 36, 40, 7, 8","Carlos, Claudia, David, Laura, Sara",0.8919,1.0,0.7568
55,Campaña Jan 2026 – Proyecto Visibilidad 22,22,Proyecto Visibilidad 22,12,Eurofarma Iberia,2026-01-10,2026-03-01,Pausada,false,CERRADA,false,5,5,0,3,2,2,4,2,"11, 13, 32, 42","Javier, Lucía, Pablo, Sara",1.0,1.0,0.6
66,Campaña Feb 2026 – Proyecto Mantenimiento 25,25,Proyecto Mantenimiento 25,13,Vitahealth España,2026-02-04,2026-04-04,En preparación,false,CERRADA,false,48,41,4,33,2,2,4,2,"1, 11, 2, 43","Ana, Claudia, David, Pablo",0.8542,1.0,0.6875
19,Campaña Dec 2025 – Proyecto Auditoria 9,9,Proyecto Auditoria 9,5,Salutis Consumer España,2025-12-19,2026-03-16,,false,CERRADA,false,7,5,2,4,4,4,8,4,"15, 16, 17, 2, 28, 35, 43, 45","Ana, Claudia, Isabel, Javier, Lucía, Miguel",0.7143,1.0,0.5714
8,Campaña Oct 2025 – Proyecto Auditoria 5,5,Proyecto Auditoria 5,3,Medicolab Iberia,2025-10-28,2026-04-17,Cerrada,false,CERRADA,false,41,37,4,29,4,4,6,4,"11, 19, 29, 34, 37, 8","Carlos, Elena, Isabel, Javier, Pablo",0.9024,1.0,0.7073
46,Campaña Feb 2026 – Proyecto Mantenimiento 19,19,Proyecto Mantenimiento 19,10,Clinipharma España,2026-02-25,2026-04-06,En preparación,false,CERRADA,false,38,34,2,28,1,1,2,1,"32, 41","Javier, Lucía",0.8947,1.0,0.7368
59,Campaña Feb 2026 – Proyecto Mantenimiento 23,23,Proyecto Mantenimiento 23,12,Eurofarma Iberia,2026-02-28,2026-06-14,Pausada,true,ACTIVA,true,17,16,1,10,2,2,3,2,"24, 32, 40","Claudia, Javier, Sara",0.9412,1.0,0.5882
61,Campaña Dec 2025 – Proyecto Mantenimiento 23,23,Proyecto Mantenimiento 23,12,Eurofarma Iberia,2025-12-30,2026-03-26,Activa,false,CERRADA,false,42,41,1,32,2,2,4,2,"11, 33, 4, 44","Elena, José, Laura, Pablo",0.9762,1.0,0.7619
13,Campaña Nov 2025 – Proyecto Sell-In 7,7,Proyecto Sell-In 7,5,Salutis Consumer España,2025-11-21,2026-04-17,Cerrada,false,CERRADA,false,22,17,4,15,2,2,3,1,"19, 22, 9","Isabel, José, María",0.7727,1.0,0.6818
53,Campaña Dec 2025 – Proyecto Visibilidad 21,21,Proyecto Visibilidad 21,12,Eurofarma Iberia,2025-12-01,2026-05-26,Pausada,,CERRADA,false,26,22,2,18,2,2,4,2,"2, 22, 24, 4","Claudia, Elena, José, Sara",0.8462,1.0,0.6923
14,Campaña Feb 2026 – Proyecto Visibilidad 8,8,Proyecto Visibilidad 8,5,Salutis Consumer España,2026-02-15,2026-06-09,Activa,false,ACTIVA,true,39,36,2,24,4,4,7,4,"15, 17, 22, 23, 33, 44, 9","Isabel, José, Laura, María, Miguel",0.9231,1.0,0.6154
5,Campaña Jan 2026 – Proyecto Visibilidad 3,3,Proyecto Visibilidad 3,2,Pharmakon Consumer Health,2026-01-16,2026-07-14,Cerrada,true,ACTIVA,true,26,22,1,16,1,1,2,1,"11, 40","Claudia, Pablo",0.8462,1.0,0.6154
65,Campaña Oct 2025 – Proyecto Mantenimiento 25,25,Proyecto Mantenimiento 25,13,Vitahealth España,2025-10-07,2026-03-29,En preparación,false,CERRADA,false,27,22,3,17,5,5,8,5,"11, 13, 3, 30, 31, 37, 41, 8","Carlos, Isabel, Javier, Laura, Lucía, Pablo, Sara",0.8148,1.0,0.6296
17,Campaña Jan 2026 – Proyecto Visibilidad 8,8,Proyecto Visibilidad 8,5,Salutis Consumer España,2026-01-16,2026-05-23,Pausada,false,CERRADA,false,2,1,1,0,5,1,9,5,"13, 14, 16, 23, 36, 37, 4, 45, 9","Carlos, Elena, Javier, Laura, Lucía, María, Sara",0.5,0.2,0.0
4,Campaña Oct 2025 – Proyecto Formación 2,2,Proyecto Formación 2,2,Pharmakon Consumer Health,2025-10-15,2026-03-24,Pausada,false,CERRADA,false,37,36,1,27,3,3,6,3,"13, 15, 3, 32, 33, 40","Claudia, Javier, Laura, Miguel, Sara",0.973,1.0,0.7297
24,Campaña Dec 2025 – Proyecto Visibilidad 11,11,Proyecto Visibilidad 11,6,Farmanat Group,2025-12-24,2026-06-10,Activa,false,ACTIVA,true,37,34,2,23,2,2,4,2,"16, 17, 19, 34","Isabel, Lucía, Pablo",0.9189,1.0,0.6216
40,Campaña Feb 2026 – Proyecto Formación 17,17,Proyecto Formación 17,9,Aquilea Consumer Health,2026-02-25,2026-04-09,Activa,false,CERRADA,false,28,22,6,21,1,1,2,1,"23, 42","Laura, Lucía",0.7857,1.0,0.75
45,Campaña Feb 2026 – Proyecto Formación 18,18,Proyecto Formación 18,10,Clinipharma España,2026-02-04,2026-06-26,Activa,false,ACTIVA,true,16,12,2,8,5,5,10,5,"1, 13, 16, 22, 3, 31, 33, 35, 41, 44","David, Isabel, José, Laura, Lucía, Miguel, Sara",0.75,1.0,0.5
51,Campaña Feb 2026 – Proyecto Formación 20,20,Proyecto Formación 20,11,Salutem Laboratorios,2026-02-01,2026-07-01,Activa,true,ACTIVA,true,28,25,1,19,5,5,9,5,"19, 26, 28, 3, 35, 40, 43, 44, 9","Ana, Claudia, Isabel, Javier, José, Laura, María, Miguel, Sara",0.8929,1.0,0.6786
33,Campaña Dec 2025 – Proyecto Auditoria 15,15,Proyecto Auditoria 15,7,Dermocare Iberia,2025-12-22,2026-03-24,,false,CERRADA,false,43,40,1,34,4,4,8,4,"1, 17, 24, 29, 30, 36, 40, 42","Carlos, Claudia, David, Elena, Isabel, Lucía, Sara",0.9302,1.0,0.7907
43,Campaña Jan 2026 – Proyecto Formación 18,18,Proyecto Formación 18,10,Clinipharma España,2026-01-25,2026-03-14,Pausada,false,CERRADA,false,36,33,3,25,6,6,10,6,"11, 15, 16, 19, 26, 32, 34, 35, 4, 41","Elena, Isabel, Javier, Lucía, Miguel, Pablo, Sara",0.9167,1.0,0.6944
56,Campaña Dec 2025 – Proyecto Visibilidad 22,22,Proyecto Visibilidad 22,12,Eurofarma Iberia,2025-12-13,2026-03-11,Pausada,false,CERRADA,false,45,38,2,33,6,6,8,6,"1, 24, 26, 30, 33, 40, 43, 8","Ana, Carlos, Claudia, David, Laura, Lucía, Sara",0.8444,1.0,0.7333
72,Campaña Oct 2025 – Proyecto Formación 28,28,Proyecto Formación 28,1,Laboratorios Valtera España,2025-10-16,2026-03-17,Activa,false,CERRADA,false,22,17,4,14,6,6,9,6,"11, 14, 16, 24, 28, 32, 33, 4, 9","Elena, Javier, Laura, Lucía, María, Pablo, Sara",0.7727,1.0,0.6364
23,Campaña Dec 2025 – Proyecto Visibilidad 11,11,Proyecto Visibilidad 11,6,Farmanat Group,2025-12-09,2026-04-03,Pausada,false,CERRADA,false,12,11,1,7,5,3,10,5,"1, 14, 2, 24, 26, 36, 41, 43, 44, 9","Ana, Carlos, Claudia, David, Javier, José, Lucía, María, Sara",0.9167,0.6,0.5833
50,Campaña Feb 2026 – Proyecto Formación 20,20,Proyecto Formación 20,11,Salutem Laboratorios,2026-02-19,2026-03-24,Cerrada,false,CERRADA,false,46,45,0,34,6,6,10,5,"1, 11, 16, 17, 19, 22, 24, 26, 30, 35","David, Isabel, José, Lucía, Miguel, Pablo, Sara",0.9783,1.0,0.7391
1,Campaña Oct 2025 – Proyecto Mantenimiento 1,1,Proyecto Mantenimiento 1,1,Laboratorios Valtera España,2025-10-20,2026-03-12,Activa,false,CERRADA,false,17,14,3,11,3,3,5,3,"19, 32, 35, 44, 9","Isabel, Javier, José, María, Miguel",0.8235,1.0,0.6471
62,Campaña Nov 2025 – Proyecto Formación 24,24,Proyecto Formación 24,13,Vitahealth España,2025-11-03,2025-12-26,Cerrada,false,CERRADA,false,0,0,0,0,6,0,11,6,"15, 17, 22, 23, 24, 26, 28, 29, 33, 34, 7","David, Elena, Isabel, Javier, José, Laura, Miguel, Pablo, Sara",0.0,0.0,0.0
9,Campaña Oct 2025 – Proyecto Auditoria 5,5,Proyecto Auditoria 5,3,Medicolab Iberia,2025-10-14,2025-12-06,Cerrada,,CERRADA,false,0,0,0,0,2,0,4,2,"1, 14, 33, 7","David, Javier, Laura",0.0,0.0,0.0
30,Campaña Oct 2025 – Proyecto Mantenimiento 13,13,Proyecto Mantenimiento 13,7,Dermocare Iberia,2025-10-28,2025-10-23,Activa,false,CERRADA,false,0,0,0,0,2,0,4,2,"11, 32, 43, 45","Ana, Javier, Pablo",0.0,0.0,0.0
44,Campaña Oct 2025 – Proyecto Formación 18,18,Proyecto Formación 18,10,Clinipharma España,2025-10-16,2025-12-27,Activa,false,CERRADA,false,0,0,0,0,5,0,8,4,"13, 14, 16, 17, 24, 32, 37, 8","Carlos, Isabel, Javier, Lucía, Sara",0.0,0.0,0.0
42,Campaña Oct 2025 – Proyecto Formación 17,17,Proyecto Formación 17,9,Aquilea Consumer Health,2025-10-21,2025-12-30,Pausada,,CERRADA,false,0,0,0,0,5,0,9,5,"2, 26, 3, 30, 32, 40, 42, 45, 8","Carlos, Claudia, Javier, Laura, Lucía, Sara",0.0,0.0,0.0
28,Campaña Oct 2025 – Proyecto Mantenimiento 12,12,Proyecto Mantenimiento 12,6,Farmanat Group,2025-10-05,2025-09-29,Activa,false,CERRADA,false,0,0,0,0,1,0,2,1,"15, 28","Javier, Miguel",0.0,0.0,0.0
39,Campaña Oct 2025 – Proyecto Formación 17,17,Proyecto Formación 17,9,Aquilea Consumer Health,2025-10-27,2025-11-29,Activa,false,CERRADA,false,0,0,0,0,2,0,4,2,"26, 29, 43, 9","Ana, Elena, María, Sara",0.0,0.0,0.0
10,Campaña Oct 2025 – Proyecto Mantenimiento 6,6,Proyecto Mantenimiento 6,4,Biofarma España SL,2025-10-29,2025-12-17,En preparación,false,CERRADA,false,0,0,0,0,1,0,2,1,"4, 44","Elena, José",0.0,0.0,0.0
